date,time,temp,feels_like,humidity,pressure,wind_speed,weather_main,weather_description,data_time,sunrise,sunset,city,unix_timestamp
2025-08-15,00:00,73.87,74.86,83,1017,3.44,Clear,clear sky,00:00,06:33,20:09,Lynchburg,1755230401
2025-08-15,00:15,73.87,74.8,82,1017,3.44,Clear,clear sky,00:11,06:33,20:09,Lynchburg,1755231091
2025-08-15,00:30,73.74,74.68,82,1017,3.44,Clear,clear sky,00:30,06:33,20:09,Lynchburg,1755232201
2025-08-15,00:45,73.74,74.68,82,1017,3.44,Clear,clear sky,00:45,06:33,20:09,Lynchburg,1755233102
2025-08-15,01:00,73.9,74.71,79,1017,3.44,Clear,clear sky,01:00,06:33,20:09,Lynchburg,1755234002
2025-08-15,01:15,73.9,74.71,79,1017,3.44,Clear,clear sky,01:15,06:33,20:09,Lynchburg,1755234901
2025-08-15,01:30,73.08,73.94,82,1017,3.44,Clear,clear sky,01:30,06:33,20:09,Lynchburg,1755235801
2025-08-15,01:45,73.08,73.94,82,1017,3.44,Clear,clear sky,01:45,06:33,20:09,Lynchburg,1755236702
2025-08-15,02:00,73.08,73.94,82,1017,3.44,Clear,clear sky,02:00,06:33,20:09,Lynchburg,1755237601
2025-08-15,02:15,73.08,73.94,82,1017,3.44,Clear,clear sky,02:15,06:33,20:09,Lynchburg,1755238502
2025-08-15,02:30,73.08,73.94,82,1017,3.44,Clear,clear sky,02:28,06:33,20:09,Lynchburg,1755239339
2025-08-15,02:45,72.46,73.08,78,1017,2.59,Clear,clear sky,02:42,06:33,20:09,Lynchburg,1755240162
2025-08-15,03:00,71.91,72.46,78,1017,2.59,Clear,clear sky,03:00,06:33,20:09,Lynchburg,1755241202
2025-08-15,03:15,72.1,72.91,83,1017,3.44,Clear,clear sky,03:12,06:33,20:09,Lynchburg,1755241953
2025-08-15,03:30,72.0,72.79,83,1017,3.44,Clear,clear sky,03:27,06:33,20:09,Lynchburg,1755242846
2025-08-15,03:45,72.0,72.79,83,1017,3.44,Clear,clear sky,03:45,06:33,20:09,Lynchburg,1755243902
2025-08-15,04:00,71.91,72.7,83,1017,3.44,Clear,clear sky,03:55,06:33,20:09,Lynchburg,1755244540
2025-08-15,04:15,71.78,72.52,82,1017,3.44,Clear,clear sky,04:15,06:33,20:09,Lynchburg,1755245702
2025-08-15,04:30,71.33,72.01,82,1017,3.44,Clear,clear sky,04:30,06:33,20:09,Lynchburg,1755246601
2025-08-15,04:45,71.33,72.01,82,1017,3.44,Clear,clear sky,04:44,06:33,20:09,Lynchburg,1755247498
2025-08-15,05:00,71.22,71.91,82,1017,3.44,Clear,clear sky,05:00,06:33,20:09,Lynchburg,1755248401
2025-08-15,05:15,71.56,72.23,81,1017,0.0,Clear,clear sky,05:15,06:33,20:09,Lynchburg,1755249301
2025-08-15,05:30,71.46,72.1,81,1017,0.0,Clear,clear sky,05:30,06:33,20:09,Lynchburg,1755250202
2025-08-15,05:45,70.47,70.88,78,1017,2.44,Clear,clear sky,05:41,06:33,20:09,Lynchburg,1755250883
2025-08-15,06:00,71.33,71.87,79,1018,0.0,Clear,clear sky,05:55,06:33,20:09,Lynchburg,1755251710
2025-08-15,06:15,70.9,71.49,81,1018,3.44,Clear,clear sky,06:15,06:33,20:09,Lynchburg,1755252901
2025-08-15,06:30,70.9,71.46,80,1018,3.44,Clear,clear sky,06:30,06:33,20:09,Lynchburg,1755253801
2025-08-15,06:45,70.77,71.35,81,1018,3.44,Clear,clear sky,06:45,06:33,20:09,Lynchburg,1755254702
2025-08-15,07:00,70.41,70.92,80,1018,3.44,Clear,clear sky,06:56,06:33,20:09,Lynchburg,1755255413
2025-08-15,07:15,70.41,70.92,80,1018,0.0,Clear,clear sky,07:10,06:33,20:09,Lynchburg,1755256207
2025-08-15,07:30,70.29,70.59,76,1018,0.0,Clear,clear sky,07:27,06:33,20:09,Lynchburg,1755257246
2025-08-15,07:45,70.79,71.33,80,1019,0.0,Clear,clear sky,07:43,06:33,20:09,Lynchburg,1755258235
2025-08-15,08:00,71.53,72.23,82,1019,0.0,Clear,clear sky,08:00,06:33,20:09,Lynchburg,1755259201
2025-08-15,08:15,72.97,73.67,79,1019,3.44,Clear,clear sky,08:15,06:33,20:09,Lynchburg,1755260101
2025-08-15,08:30,72.77,73.33,76,1019,3.44,Clear,clear sky,08:26,06:33,20:09,Lynchburg,1755260783
2025-08-15,08:45,73.53,74.1,75,1019,3.44,Clear,clear sky,08:41,06:33,20:09,Lynchburg,1755261683
2025-08-15,09:00,75.76,77.36,92,1019,3.44,Clear,clear sky,08:59,06:33,20:09,Lynchburg,1755262785
2025-08-15,09:15,77.09,78.67,89,1020,4.61,Clouds,broken clouds,09:13,06:33,20:09,Lynchburg,1755263626
2025-08-15,09:30,77.05,78.6,88,1020,4.61,Clouds,broken clouds,09:27,06:33,20:09,Lynchburg,1755264446
2025-08-15,09:45,80.1,85.3,86,1020,3.04,Clear,clear sky,09:45,06:33,20:09,Lynchburg,1755265502
2025-08-15,10:00,81.39,88.23,84,1020,3.04,Clear,clear sky,09:57,06:33,20:09,Lynchburg,1755266273
2025-08-15,10:15,81.99,88.27,78,1020,6.91,Clear,clear sky,10:10,06:33,20:09,Lynchburg,1755267007
2025-08-15,10:30,81.97,87.98,77,1020,6.91,Clear,clear sky,10:30,06:33,20:09,Lynchburg,1755268201
2025-08-15,10:45,81.97,87.49,75,1020,6.91,Clear,clear sky,10:42,06:33,20:09,Lynchburg,1755268920
2025-08-15,11:00,83.03,90.16,76,1020,6.91,Clear,clear sky,10:59,06:33,20:09,Lynchburg,1755269960
2025-08-15,11:15,83.01,90.1,76,1020,6.91,Clouds,few clouds,11:10,06:33,20:09,Lynchburg,1755270622
2025-08-15,11:30,84.13,91.76,73,1020,6.91,Clouds,few clouds,11:27,06:33,20:09,Lynchburg,1755271645
2025-08-15,11:45,84.38,92.01,72,1020,6.91,Clouds,few clouds,11:43,06:33,20:09,Lynchburg,1755272599
2025-08-15,12:00,85.26,93.7,71,1020,6.91,Clouds,few clouds,11:56,06:33,20:09,Lynchburg,1755273412
2025-08-15,12:15,86.2,94.68,68,1020,9.22,Clear,clear sky,12:15,06:33,20:09,Lynchburg,1755274501
2025-08-15,12:30,86.77,95.59,67,1019,9.22,Clear,clear sky,12:30,06:33,20:09,Lynchburg,1755275402
2025-08-15,12:45,87.28,95.4,64,1019,9.22,Clear,clear sky,12:45,06:33,20:09,Lynchburg,1755276301
2025-08-15,13:00,87.89,97.81,66,1019,9.22,Clear,clear sky,13:00,06:33,20:09,Lynchburg,1755277202
2025-08-15,13:15,87.64,95.74,63,1020,5.75,Clouds,scattered clouds,13:15,06:33,20:09,Lynchburg,1755278101
2025-08-15,13:30,88.32,97.32,63,1020,5.75,Clouds,scattered clouds,13:29,06:33,20:09,Lynchburg,1755278942
2025-08-15,13:45,89.1,98.1,61,1019,5.75,Clouds,scattered clouds,13:42,06:33,20:09,Lynchburg,1755279724
2025-08-15,14:00,89.31,96.53,57,1019,5.75,Clouds,scattered clouds,13:57,06:33,20:09,Lynchburg,1755280675
2025-08-15,14:15,90.3,98.71,57,1019,5.75,Clouds,scattered clouds,14:15,06:33,20:09,Lynchburg,1755281701
2025-08-15,14:30,89.89,99.99,61,1018,5.75,Clouds,scattered clouds,14:30,06:33,20:09,Lynchburg,1755282601
2025-08-15,14:45,90.54,100.38,59,1018,5.75,Clouds,scattered clouds,14:45,06:33,20:09,Lynchburg,1755283502
2025-08-15,15:00,89.56,96.57,56,1018,5.75,Clouds,scattered clouds,14:59,06:33,20:09,Lynchburg,1755284380
2025-08-15,15:15,91.2,100.2,56,1019,6.91,Clouds,few clouds,15:10,06:33,20:09,Lynchburg,1755285024
2025-08-15,15:30,91.29,100.4,56,1019,6.91,Clouds,few clouds,15:26,06:33,20:09,Lynchburg,1755285983
2025-08-15,15:45,91.53,99.77,54,1018,6.91,Clouds,few clouds,15:45,06:33,20:09,Lynchburg,1755287101
2025-08-15,16:00,91.53,98.1,51,1018,6.91,Clouds,few clouds,15:58,06:33,20:09,Lynchburg,1755287889
2025-08-15,16:15,90.45,96.91,53,1018,1.01,Clear,clear sky,16:11,06:33,20:09,Lynchburg,1755288683
2025-08-15,16:30,92.37,101.08,53,1017,1.01,Clear,clear sky,16:30,06:33,20:09,Lynchburg,1755289801
2025-08-15,16:45,91.54,98.15,51,1017,1.01,Clear,clear sky,16:45,06:33,20:09,Lynchburg,1755290702
2025-08-15,17:00,93.24,100.58,49,1017,1.01,Clear,clear sky,16:57,06:33,20:09,Lynchburg,1755291468
2025-08-15,17:15,92.44,103.14,56,1018,5.66,Clouds,broken clouds,17:11,06:33,20:09,Lynchburg,1755292262
2025-08-15,17:30,90.12,97.25,55,1018,0.0,Clear,clear sky,17:30,06:33,20:09,Lynchburg,1755293401
2025-08-15,17:45,90.34,97.72,55,1018,1.01,Clear,clear sky,17:45,06:33,20:09,Lynchburg,1755294302
2025-08-15,18:00,91.0,98.08,53,1018,0.0,Clear,clear sky,18:00,06:33,20:09,Lynchburg,1755295201
2025-08-15,18:15,89.6,95.2,53,1018,4.61,Clear,clear sky,18:14,06:33,20:09,Lynchburg,1755296064
2025-08-15,18:30,88.74,94.41,55,1018,4.61,Clear,clear sky,18:30,06:33,20:09,Lynchburg,1755297002
2025-08-15,18:45,88.39,95.07,58,1018,4.61,Clear,clear sky,18:45,06:33,20:09,Lynchburg,1755297901
2025-08-15,19:00,87.64,93.52,58,1018,4.61,Clear,clear sky,18:59,06:33,20:09,Lynchburg,1755298758
2025-08-15,19:15,87.48,95.38,63,1018,3.44,Clear,clear sky,19:14,06:33,20:09,Lynchburg,1755299672
2025-08-15,19:30,86.2,92.23,62,1019,3.44,Clear,clear sky,19:30,06:33,20:09,Lynchburg,1755300602
2025-08-15,19:45,84.54,92.75,73,1019,3.76,Clouds,broken clouds,19:45,06:33,20:09,Lynchburg,1755301502
2025-08-15,20:00,84.18,91.2,71,1019,3.76,Clouds,broken clouds,20:00,06:33,20:09,Lynchburg,1755302401
2025-08-15,20:15,81.72,87.4,77,1019,0.0,Clear,clear sky,20:11,06:33,20:09,Lynchburg,1755303065
